transaction_id,sale_id,user_id,product_id,quantity,sale_date
1,1,1,1,2,2024-10-01
1,2,1,2,1,2024-10-01
2,3,2,3,5,2024-10-02
3,4,3,2,1,2024-10-03
4,5,4,4,1,2024-10-04
5,6,5,5,1,2024-10-05
6,7,6,6,2,2024-10-06
7,8,7,1,3,2024-10-07
8,9,8,7,1,2024-10-08
8,10,8,8,1,2024-10-08
9,11,9,8,2,2024-10-09
9,12,9,5,4,2024-10-09
10,13,10,9,1,2024-10-10
11,14,1,2,1,2024-10-11
11,15,1,4,1,2024-10-11
12,16,2,3,1,2024-10-12
12,17,2,6,2,2024-10-12
13,18,3,4,2,2024-10-13
14,19,4,6,1,2024-10-14
14,20,4,9,1,2024-10-14
15,21,5,7,1,2024-10-15
15,22,5,10,1,2024-10-15
16,23,6,8,2,2024-10-16
17,24,7,9,1,2024-10-17
17,25,7,1,1,2024-10-17
18,26,8,10,1,2024-10-18
18,27,8,5,1,2024-10-18
19,28,9,5,1,2024-10-19
20,29,10,4,1,2024-10-20
